name,lat,lon,pop
"Lexington-Fayette, KY Metro Area",38.0406,-84.5037,533366
"Lexington Park, MD Metro Area",38.2654,-76.4511,211382
"Lima, OH Metro Area",40.7423,-84.1052,100866
"Lincoln, NE Metro Area",40.8136,-96.7026,350626
"Little Rock-North Little Rock-Conway, AR Metro Area",34.7465,-92.2896,769258
"Logan, UT-ID Metro Area",41.737,-111.8338,161125
"Longview, TX Metro Area",32.5007,-94.7405,295490
"Longview-Kelso, WA Metro Area",46.1382,-122.9382,113982
"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.0522,-118.2437,12927614
"Louisville/Jefferson County, KY-IN Metro Area",38.2527,-85.7585,1394234
"Lubbock, TX Metro Area",33.5779,-101.8552,367109
"Lynchburg, VA Metro Area",37.4138,-79.1422,266432
"Macon-Bibb County, GA Metro Area",32.8407,-83.6324,237617
"Madison, WI Metro Area",43.0731,-89.4012,707606
"Manchester-Nashua, NH Metro Area",42.9956,-71.4548,430462
"Manhattan, KS Metro Area",39.1836,-96.5717,134892
"Mankato, MN Metro Area",44.1636,-93.9994,105193
"Mansfield, OH Metro Area",40.7584,-82.5154,124853
"McAllen-Edinburg-Mission, TX Metro Area",26.2034,-98.23,914820
"Medford, OR Metro Area",42.3265,-122.8756,221331
"Memphis, TN-MS-AR Metro Area",35.1495,-90.049,1339345
"Merced, CA Metro Area",37.3022,-120.483,296774
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",25.7617,-80.1918,6457988
"Michigan City-La Porte, IN Metro Area",41.7075,-86.895,111348
"Midland, MI Metro Area",43.6156,-84.2472,84022
"Midland, TX Metro Area",31.9973,-102.0779,188766
"Milwaukee-Waukesha, WI Metro Area",43.0389,-87.9065,1574452
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",44.9778,-93.265,3757952
"Minot, ND Metro Area",48.2325,-101.2963,75938
"Missoula, MT Metro Area",46.8721,-113.994,127741
"Mobile, AL Metro Area",30.6954,-88.0399,412339
"Modesto, CA Metro Area",37.6391,-120.9969,556972
"Monroe, LA Metro Area",32.5093,-92.1193,221921
"Monroe, MI Metro Area",41.9162,-83.3974,156045
"Montgomery, AL Metro Area",32.3668,-86.3,387885
"Morgantown, WV Metro Area",39.6295,-79.9559,142752
"Morristown, TN Metro Area",36.2148,-83.2949,126932
"Mount Vernon-Anacortes, WA Metro Area",48.4201,-122.3343,132736
"Muncie, IN Metro Area",40.1934,-85.3863,112951
"Muskegon-Norton Shores, MI Metro Area",43.2342,-86.2484,177428
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",33.689,-78.8867,413391
"Napa, CA Metro Area",38.2975,-122.2869,132727
"Naples-Marco Island, FL Metro Area",26.142,-81.7948,416233
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",36.1627,-86.7816,2150553
"New Haven, CT Metro Area",41.3083,-72.9279,576718
"New Orleans-Metairie, LA Metro Area",29.9511,-90.0715,966230
"New York-Newark-Jersey City, NY-NJ Metro Area",40.7128,-74.006,19940274
"Niles, MI Metro Area",41.8295,-86.2528,152703
"North Port-Bradenton-Sarasota, FL Metro Area",27.3364,-82.5307,934956
"Norwich-New London-Willimantic, CT Metro Area",41.5243,-72.0759,282602
"Ocala, FL Metro Area",29.1872,-82.1401,428905
"Odessa, TX Metro Area",31.8457,-102.3676,170022
"Ogden, UT Metro Area",41.223,-111.9738,667681
"Oklahoma City, OK Metro Area",35.4676,-97.5164,1497821
"Olympia-Lacey-Tumwater, WA Metro Area",47.0379,-122.9007,302912
"Omaha, NE-IA Metro Area",41.2565,-95.9345,1001010
"Orlando-Kissimmee-Sanford, FL Metro Area",28.5383,-81.3792,2940513
"Oshkosh-Neenah, WI Metro Area",44.0247,-88.5426,173307
"Owensboro, KY Metro Area",37.7719,-87.1112,113583
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",34.1975,-119.1771,835427
"Paducah, KY-IL Metro Area",37.0834,-88.6001,102395
"Palm Bay-Melbourne-Titusville, FL Metro Area",28.0345,-80.5887,658447
"Panama City-Panama City Beach, FL Metro Area",30.1588,-85.6602,226221
"Parkersburg-Vienna, WV Metro Area",39.2667,-81.5615,87681
"Pensacola-Ferry Pass-Brent, FL Metro Area",30.4213,-87.2169,538928
"Peoria, IL Metro Area",40.6936,-89.589,364565
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",39.9526,-75.1652,6330422
"Phoenix-Mesa-Chandler, AZ Metro Area",33.4484,-112.074,5186958
"Pinehurst-Southern Pines, NC Metro Area",35.1954,-79.4695,108417
"Pittsburgh, PA Metro Area",40.4406,-79.9959,2429917
"Pittsfield, MA Metro Area",42.4501,-73.2454,128726
"Pocatello, ID Metro Area",42.8713,-112.4455,91010
"Portland-South Portland, ME Metro Area",43.6591,-70.2568,571534
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",45.5051,-122.675,2537904
"Port St. Lucie, FL Metro Area",27.273,-80.3582,556336
"Prescott Valley-Prescott, AZ Metro Area",34.54,-112.4685,252013
"Providence-Warwick, RI-MA Metro Area",41.824,-71.4128,1700901
"Provo-Orem-Lehi, UT Metro Area",40.2338,-111.6585,760531
"Pueblo, CO Metro Area",38.2544,-104.6091,169866
"Punta Gorda, FL Metro Area",26.9298,-82.0454,212122
"Racine-Mount Pleasant, WI Metro Area",42.7261,-87.7829,198651
"Raleigh-Cary, NC Metro Area",35.7796,-78.6382,1562009
"Rapid City, SD Metro Area",44.0805,-103.231,156227
"Reading, PA Metro Area",40.3356,-75.9269,439117
"Redding, CA Metro Area",40.5865,-122.3917,181121
"Reno, NV Metro Area",39.5296,-119.8138,575110
"Richmond, VA Metro Area",37.5407,-77.436,1370165
"Riverside-San Bernardino-Ontario, CA Metro Area",33.9425,-117.2297,4744214
"Roanoke, VA Metro Area",37.271,-79.9414,315749
"Rochester, MN Metro Area",44.0121,-92.4802,230742
"Rochester, NY Metro Area",43.1566,-77.6088,1057218
"Rockford, IL Metro Area",42.2711,-89.094,337103
"Rocky Mount, NC Metro Area",35.9382,-77.7905,147114
"Rome, GA Metro Area",34.257,-85.1647,101390
"Sacramento-Roseville-Folsom, CA Metro Area",38.5816,-121.4944,2463127
"Saginaw, MI Metro Area",43.4195,-83.9508,187714
"St. Cloud, MN Metro Area",45.5579,-94.1632,205878
"St. George, UT Metro Area",37.1041,-113.5841,207943
"St. Joseph, MO-KS Metro Area",39.7675,-94.8467,119124
"St. Louis, MO-IL Metro Area",38.627,-90.1994,2811927
"Salem, OR Metro Area",44.9429,-123.0351,443416
"Salinas, CA Metro Area",36.6777,-121.6555,436251
"Salisbury, MD Metro Area",38.3607,-75.5994,131570
